IR SPECTRUM
-----------

 Mode   freq       eps      Int      T**2         TX        TY        TZ
       cm**-1   L/(mol*cm) km/mol    a.u.
----------------------------------------------------------------------------
  6:   1220.60   0.001733    8.76  0.000443  ( 0.006785  0.016835 -0.010664)
  7:   1263.50   0.003751   18.95  0.000926  ( 0.000122  0.016329  0.025684)
  8:   1506.89   0.005535   27.97  0.001146  (-0.032067  0.009130 -0.005876)
  9:   1826.33   0.042193  213.23  0.007210  ( 0.080400 -0.023080  0.014587)
 10:   2962.23   0.012904   65.21  0.001359  ( 0.034902 -0.010062  0.006325)
 11:   3056.30   0.012308   62.20  0.001257  (-0.000109 -0.018980 -0.029941)
